year,country_code,event_count
2011,AFG,415
2011,DZA,14
2011,ARG,1
2011,AUT,1
2011,BHR,1
2011,BGD,13
2011,BLR,1
2011,BTN,1
2011,BIH,1
2011,BGR,2
2011,BDI,8
2011,CMR,3
2011,CAF,3
2011,CHL,6
2011,CHN,4
2011,COL,94
2011,CZE,1
2011,COD,15
2011,ECU,1
2011,EGY,18
2011,ERI,1
2011,EST,1
2011,ETH,3
2011,FRA,8
2011,GEO,3
2011,DEU,8
2011,GRC,11
2011,HND,1
2011,IND,642
2011,IDN,21
2011,IRN,13
2011,IRQ,1300
2011,IRL,4
2011,ISR,51
2011,ITA,3
2011,CIV,3
2011,KAZ,5
2011,KEN,41
2011,KWT,1
2011,KGZ,1
2011,LBN,10
2011,LBY,2
2011,MDG,1
2011,MLI,4
2011,MRT,3
2011,MEX,2
2011,MAR,1
2011,MMR,2
2011,NPL,46
2011,NLD,2
2011,NER,2
2011,NGA,173
2011,NOR,3
2011,PAK,1008
2011,PRY,4
2011,PHL,149
2011,PRT,2
2011,RUS,188
2011,RWA,2
2011,SAU,2
2011,SEN,3
2011,SOM,180
2011,SDN,37
2011,SWE,1
2011,CHE,3
2011,SYR,48
2011,THA,181
2011,TUN,3
2011,TUR,51
2011,UKR,3
2011,GBR,47
2011,USA,10
2011,YEM,117
2011,ZWE,1
