year,country_code,terror_count,arms_import,gdp_growth,life_expectancy
2012,AFG,1446,521000000,14.43474129,59.67960976
2012,DZA,41,807000000,3.374768651,74.32409756
2012,ARG,2,3000000,-1.026420463,75.8162439
2012,BHR,26,26000000,3.72810843,76.40763415
2012,BGD,18,206000000,6.521435078,70.86026829
2012,BLR,3,75000000,1.731391223,71.96585366
2012,BEL,1,32000000,0.137051659,80.38536585
2012,BOL,1,12000000,5.122370993,67.44546341
2012,BRA,1,311000000,1.921150318,73.83958537
2012,BGR,2,5000000,0.030943608,74.31463415
2012,BDI,4,5000000,4.01936553,55.78929268
2012,CAN,2,205000000,1.745472283,81.56243902
2012,CAF,3,7000000,4.112797869,49.10529268
2012,CHL,2,62000000,5.45713061,80.89485366
2012,CHN,4,1703000000,7.85626211,75.39292683
2012,COL,115,207000000,4.043943806,73.63078049
2012,CYP,1,6000000,-3.157777674,79.76226829
2012,COD,23,10000000,7.157859628,57.85407317
2012,ECU,1,88000000,5.641962067,75.433
2012,EGY,48,281000000,2.193878354,70.72914634
2012,ETH,3,193000000,8.647811635,62.79353659
2012,FRA,65,91000000,0.182693034,81.96829268
2012,GEO,3,2666666.667,6.350481944,74.35270732
2012,DEU,5,157000000,0.491992829,80.53902439
2012,GRC,22,37000000,-7.300493935,80.63414634
2012,GTM,1,2000000,2.969857427,71.24939024
2012,GNB,1,215165420.2,-1.797988509,54.5035122
2012,ISL,1,50000000,1.217535365,82.91707317
2012,IND,591,4465000000,5.484016537,67.28987805
2012,IDN,39,218000000,6.030050653,68.51956098
2012,IRN,5,46000000,-6.608687255,74.79934146
2012,IRQ,1423,476000000,13.93643017,68.94973171
2012,IRL,29,1000000,-1.10288038,80.84634146
2012,ISR,66,120000000,2.381800262,81.70487805
2012,ITA,10,219000000,-2.819019127,82.23902439
2012,CIV,15,6000000,10.7065041,50.86334146
2012,JOR,2,176000000,2.651203349,73.74641463
2012,KAZ,4,94000000,4.8,69.61
2012,KEN,80,61000000,4.554942796,60.27278049
