year,country_code,event_count
2012,AFG,1446
2012,DZA,41
2012,ARG,2
2012,BHR,26
2012,BGD,18
2012,BLR,3
2012,BEL,1
2012,BOL,1
2012,BRA,1
2012,BGR,2
2012,BDI,4
2012,CAN,2
2012,CAF,3
2012,CHL,2
2012,CHN,4
2012,COL,115
2012,CYP,1
2012,COD,23
2012,ECU,1
2012,EGY,48
2012,ETH,3
2012,FRA,65
2012,GEO,3
2012,DEU,5
2012,GRC,22
2012,GTM,1
2012,GNB,1
2012,ISL,1
2012,IND,591
2012,IDN,39
2012,IRN,5
2012,IRQ,1423
2012,IRL,29
2012,ISR,66
2012,ITA,10
2012,CIV,15
2012,JOR,2
2012,KAZ,4
2012,KEN,80
2012,LAO,1
2012,LBN,15
2012,LBR,1
2012,LBY,58
2012,MKD,1
2012,MDG,1
2012,MYS,2
2012,MLI,12
2012,MEX,16
2012,MDA,1
2012,MOZ,1
2012,MMR,17
2012,NPL,46
2012,NER,1
2012,NGA,591
2012,PAK,1625
2012,PRY,4
2012,PER,6
2012,PHL,243
2012,RUS,150
2012,RWA,6
2012,SAU,6
2012,SEN,11
2012,SRB,3
2012,SOM,266
2012,ZAF,4
2012,SSD,4
2012,ESP,1
2012,LKA,4
2012,SDN,34
2012,SWE,2
2012,SYR,173
2012,TJK,5
2012,THA,279
2012,TUN,1
2012,TUR,177
2012,UGA,4
2012,UKR,8
2012,GBR,51
2012,USA,17
2012,VEN,1
2012,YEM,306
2013,AFG,1415
2013,ALB,1
2013,DZA,21
2013,ARG,2
2013,ARM,1
2013,AUS,1
2013,AUT,1
2013,BHS,1
2013,BHR,52
2013,BGD,139
2013,BLZ,1
2013,BIH,1
2013,BRA,3
2013,BGR,3
2013,BFA,1
2013,BDI,2
2013,KHM,2
2013,CMR,3
2013,CAN,4
2013,CAF,19
2013,CHL,4
2013,CHN,10
2013,COL,144
2013,HRV,2
2013,CYP,9
2013,CZE,1
2013,COD,16
2013,DNK,1
2013,DOM,1
2013,ECU,2
2013,EGY,307
2013,ETH,5
2013,FRA,12
2013,GEO,2
2013,GRC,53
2013,GTM,6
2013,GIN,2
2013,HND,2
2013,IND,678
2013,IDN,32
2013,IRN,11
2013,IRQ,2809
2013,IRL,26
2013,ISR,37
2013,ITA,7
2013,CIV,4
2013,JOR,1
2013,KAZ,4
2013,KEN,78
2013,LBN,117
2013,LBY,285
2013,MDG,2
2013,MYS,13
2013,MDV,3
2013,MLI,57
2013,MEX,8
2013,MNE,2
2013,MOZ,18
2013,MMR,17
2013,NPL,101
2013,NER,4
2013,NGA,318
2013,PAK,2157
2013,PRY,10
2013,PER,10
2013,PHL,626
2013,COG,1
2013,RUS,143
2013,RWA,4
2013,SAU,6
2013,SEN,3
2013,SOM,270
2013,ZAF,12
2013,SSD,12
2013,ESP,5
2013,LKA,14
2013,SDN,44
2013,CHE,2
2013,SYR,263
2013,TWN,2
2013,TZA,7
2013,THA,471
2013,TTO,3
2013,TUN,29
2013,TUR,38
2013,UKR,5
2013,ARE,1
2013,GBR,137
2013,USA,19
2013,YEM,389
2013,ZWE,3
2014,AFG,1767
2014,ALB,2
2014,DZA,12
2014,AUS,8
2014,AZE,3
2014,BHR,40
2014,BGD,130
2014,BEL,2
2014,BTN,0
2014,BIH,3
