country_code,year,cluster
AFG,2012,7
ARG,2012,3
BDI,2012,2
BEL,2012,3
BGD,2012,2
BGR,2012,2
BHR,2012,2
BLR,2012,3
BOL,2012,3
BRA,2012,3
CAF,2012,1
CAN,2012,3
CHL,2012,3
CHN,2012,0
CIV,2012,0
COD,2012,5
COL,2012,5
CYP,2012,3
DEU,2012,3
DZA,2012,0
ECU,2012,3
EGY,2012,0
ESP,2012,3
ETH,2012,0
FRA,2012,2
GBR,2012,3
GEO,2012,3
GNB,2012,3
GRC,2012,3
GTM,2012,3
IDN,2012,1
IND,2012,5
IRL,2012,3
IRN,2012,1
IRQ,2012,7
ISL,2012,3
ISR,2012,1
ITA,2012,3
JOR,2012,3
KAZ,2012,3
KEN,2012,4
LAO,2012,3
LBN,2012,2
LBR,2012,3
LBY,2012,0
LKA,2012,3
MDA,2012,3
MDG,2012,3
MEX,2012,1
MKD,2012,2
MLI,2012,2
MMR,2012,1
MOZ,2012,3
MYS,2012,3
NER,2012,3
NGA,2012,6
NPL,2012,2
PAK,2012,7
PER,2012,1
PHL,2012,5
PRY,2012,3
PSE,2012,1
RUS,2012,5
RWA,2012,1
SAU,2012,2
SDN,2012,4
SEN,2012,1
SOM,2012,6
SRB,2012,3
SSD,2012,4
SWE,2012,3
SYR,2012,6
THA,2012,5
TJK,2012,3
TUN,2012,3
TUR,2012,5
UGA,2012,2
UKR,2012,3
USA,2012,2
VEN,2012,3
YEM,2012,6
ZAF,2012,2
