country_code,year,cluster
AFG,2012,4
AFG,2013,4
AFG,2014,6
AFG,2015,6
ALB,2013,3
ALB,2014,3
ALB,2015,3
ARE,2013,3
ARE,2014,3
ARG,2012,3
ARG,2013,3
ARG,2015,3
ARM,2013,3
ARM,2015,3
AUS,2013,3
AUS,2014,3
AUS,2015,3
AUT,2013,3
AZE,2014,3
BDI,2012,3
BDI,2013,3
BDI,2014,3
BDI,2015,2
BEL,2012,3
BEL,2014,3
BFA,2013,3
BFA,2015,3
BGD,2012,3
BGD,2013,3
BGD,2014,3
BGD,2015,3
BGR,2012,3
BGR,2013,3
BGR,2014,3
BGR,2015,3
BHR,2012,3
BHR,2013,3
BHR,2014,3
BHR,2015,3
BHS,2013,3
BIH,2013,3
BIH,2014,3
BIH,2015,3
BLR,2012,3
BLZ,2013,3
BOL,2012,3
BRA,2012,3
BRA,2013,3
BRA,2014,3
BRA,2015,3
BTN,2014,3
CAF,2012,3
CAF,2013,2
CAF,2014,0
CAF,2015,2
CAN,2012,3
CAN,2013,3
CAN,2014,3
CAN,2015,3
CHE,2013,3
CHL,2012,3
CHL,2013,3
CHL,2014,3
CHL,2015,3
CHN,2012,3
CHN,2013,3
CHN,2014,1
CHN,2015,2
CIV,2012,3
CIV,2013,3
CIV,2014,3
CIV,2015,3
CMR,2013,3
CMR,2014,0
CMR,2015,0
COD,2012,2
COD,2013,2
COD,2014,1
COD,2015,1
COG,2013,3
COL,2012,2
COL,2013,2
COL,2014,2
COL,2015,2
CYP,2012,3
CYP,2013,3
CYP,2014,3
CYP,2015,3
CZE,2013,3
CZE,2014,3
CZE,2015,3
DEU,2012,3
DEU,2014,3
DEU,2015,3
DJI,2014,3
DJI,2015,3
DNK,2013,3
DNK,2015,3
DOM,2013,3
DOM,2014,3
DZA,2012,3
DZA,2013,2
DZA,2014,3
DZA,2015,3
ECU,2012,3
ECU,2013,3
ECU,2015,3
EGY,2012,3
EGY,2013,2
EGY,2014,1
EGY,2015,0
ESP,2012,3
ESP,2013,3
ESP,2014,3
EST,2015,3
ETH,2012,3
ETH,2013,3
ETH,2014,3
ETH,2015,3
FIN,2015,3
FRA,2012,3
FRA,2013,3
FRA,2014,3
FRA,2015,2
GBR,2012,3
GBR,2013,3
GBR,2014,3
GBR,2015,3
GEO,2012,3
GEO,2013,3
GEO,2014,3
GEO,2015,3
GHA,2014,3
GIN,2013,3
GIN,2015,3
GNB,2012,3
GRC,2012,3
GRC,2013,3
GRC,2014,3
GRC,2015,3
GTM,2012,3
GTM,2013,3
HND,2013,3
HND,2014,3
HRV,2013,3
HUN,2014,3
HUN,2015,3
IDN,2012,3
IDN,2013,3
IDN,2014,3
IDN,2015,3
IND,2012,2
IND,2013,1
IND,2014,1
IND,2015,1
IRL,2012,3
IRL,2013,3
IRL,2014,3
IRL,2015,3
IRN,2012,3
IRN,2013,3
IRN,2014,3
IRN,2015,3
IRQ,2012,4
IRQ,2013,6
IRQ,2014,7
IRQ,2015,7
ISL,2012,3
ISL,2014,3
ISR,2012,3
ISR,2013,3
ISR,2014,3
ISR,2015,3
ITA,2012,3
ITA,2013,3
ITA,2014,3
ITA,2015,3
JAM,2014,3
JOR,2012,3
JOR,2013,3
JOR,2014,3
JOR,2015,3
JPN,2014,3
JPN,2015,3
KAZ,2012,3
KAZ,2013,3
KEN,2012,2
KEN,2013,2
KEN,2014,1
KEN,2015,2
KGZ,2014,3
KGZ,2015,3
KHM,2013,3
KOR,2015,3
KWT,2015,3
LAO,2012,3
LAO,2015,3
LBN,2012,3
LBN,2013,2
LBN,2014,2
LBN,2015,2
LBR,2012,3
LBR,2014,3
LBY,2012,3
LBY,2013,2
LBY,2014,0
LBY,2015,0
LKA,2012,3
LKA,2013,3
LKA,2014,3
LKA,2015,3
LSO,2015,3
MAR,2015,3
MDA,2012,3
MDG,2012,3
MDG,2013,3
MDG,2014,3
MDV,2013,3
MDV,2014,3
MDV,2015,3
MEX,2012,3
MEX,2013,3
MEX,2014,3
MEX,2015,3
MKD,2012,3
MKD,2014,3
MKD,2015,3
MLI,2012,3
MLI,2013,2
MLI,2014,2
MLI,2015,2
MLT,2014,3
MLT,2015,3
MMR,2012,3
MMR,2013,3
MMR,2014,3
MMR,2015,3
MNE,2013,3
MNE,2015,3
MOZ,2012,3
MOZ,2013,3
MOZ,2014,3
MOZ,2015,3
MYS,2012,3
MYS,2013,3
MYS,2014,3
MYS,2015,3
NER,2012,3
NER,2013,3
NER,2014,3
NER,2015,0
NGA,2012,5
NGA,2013,5
NGA,2014,6
NGA,2015,6
NIC,2014,3
NLD,2014,3
NLD,2015,3
NPL,2012,3
